Date,Turnover_sum,Cost_sum,adds,drops,kept
2016-09-30,0.2400000000000001,0.0003600000000000002,24,24,76
2016-10-31,0.2599999999999999,0.00038999999999999983,26,26,74
2016-11-30,0.36000000000000004,0.0005400000000000001,36,36,64
2016-12-31,0.41000000000000003,0.0006150000000000001,41,41,59
2017-01-31,0.19999999999999996,0.0002999999999999999,20,20,80
2017-02-28,0.32999999999999996,0.000495,33,33,67
2017-03-31,0.25,0.000375,25,25,75
2017-04-30,0.16000000000000006,0.0002400000000000001,16,16,84
2017-05-31,0.22000000000000003,0.00033000000000000005,22,22,78
2017-06-30,0.21999999999999997,0.00032999999999999994,22,22,78
2017-07-31,0.21999999999999995,0.00032999999999999994,22,22,78
2017-08-31,0.23,0.00034500000000000004,23,23,77
2017-09-30,0.25000000000000006,0.0003750000000000001,25,25,75
2017-10-31,0.26,0.00039000000000000005,26,26,74
2017-11-30,0.25999999999999995,0.00038999999999999994,26,26,74
2017-12-31,0.27999999999999997,0.00041999999999999996,28,28,72
2018-01-31,0.16000000000000006,0.0002400000000000001,16,16,84
2018-02-28,0.29000000000000004,0.00043500000000000006,29,29,71
2018-03-31,0.25,0.000375,25,25,75
2018-04-30,0.18,0.00027,18,18,82
2018-05-31,0.16999999999999993,0.0002549999999999999,17,17,83
2018-06-30,0.20000000000000004,0.0003000000000000001,20,20,80
2018-07-31,0.17999999999999994,0.0002699999999999999,18,18,82
2018-08-31,0.18000000000000002,0.00027000000000000006,18,18,82
2018-09-30,0.19,0.000285,19,19,81
2018-10-31,0.13,0.00019500000000000002,13,13,87
2018-11-30,0.19999999999999998,0.0003,20,20,80
2018-12-31,0.21,0.000315,21,21,79
2019-01-31,0.18999999999999995,0.00028499999999999993,19,19,81
2019-02-28,0.2899999999999999,0.0004349999999999999,29,29,71
2019-03-31,0.19999999999999998,0.0003,20,20,80
2019-04-30,0.18000000000000008,0.0002700000000000001,18,18,82
2019-05-31,0.26,0.00039000000000000005,26,26,74
2019-06-30,0.32000000000000006,0.0004800000000000001,32,32,68
2019-07-31,0.18,0.00027,18,18,82
2019-08-31,0.24,0.00035999999999999997,24,24,76
2019-09-30,0.19999999999999996,0.0002999999999999999,20,20,80
2019-10-31,0.21000000000000002,0.000315,21,21,79
2019-11-30,0.36000000000000004,0.0005400000000000001,36,36,64
2019-12-31,0.24,0.00035999999999999997,24,24,76
2020-01-31,0.22999999999999998,0.000345,23,23,77
2020-02-29,0.22999999999999998,0.000345,23,23,77
2020-03-31,0.26999999999999996,0.000405,27,27,73
2020-04-30,0.38,0.00057,38,38,62
2020-05-31,0.22999999999999995,0.00034499999999999993,23,23,77
2020-06-30,0.2799999999999999,0.0004199999999999999,28,28,72
2020-07-31,0.17000000000000004,0.00025500000000000007,17,17,83
2020-08-31,0.19999999999999996,0.0002999999999999999,20,20,80
2020-09-30,0.22999999999999998,0.000345,23,23,77
2020-10-31,0.19999999999999996,0.0002999999999999999,20,20,80
2020-11-30,0.14000000000000007,0.00021000000000000012,14,14,86
2020-12-31,0.24999999999999994,0.0003749999999999999,25,25,75
2021-01-31,0.19999999999999996,0.0002999999999999999,20,20,80
2021-02-28,0.23000000000000004,0.00034500000000000004,23,23,77
2021-03-31,0.2799999999999999,0.0004199999999999999,28,28,72
2021-04-30,0.39,0.000585,39,39,61
2021-05-31,0.27,0.00040500000000000003,27,27,73
2021-06-30,0.22000000000000003,0.00033000000000000005,22,22,78
2021-07-31,0.18,0.00027,18,18,82
2021-08-31,0.18,0.00027,18,18,82
2021-09-30,0.20000000000000004,0.0003000000000000001,20,20,80
2021-10-31,0.24000000000000002,0.00036,24,24,76
2021-11-30,0.20999999999999996,0.00031499999999999996,21,21,79
2021-12-31,0.27999999999999997,0.00041999999999999996,28,28,72
2022-01-31,0.18999999999999997,0.000285,19,19,81
2022-02-28,0.35,0.000525,35,35,65
2022-03-31,0.41000000000000003,0.0006150000000000001,41,41,59
2022-04-30,0.22999999999999998,0.000345,23,23,77
2022-05-31,0.20999999999999996,0.00031499999999999996,21,21,79
2022-06-30,0.22999999999999995,0.00034499999999999993,23,23,77
2022-07-31,0.25,0.000375,25,25,75
2022-08-31,0.25,0.000375,25,25,75
2022-09-30,0.14999999999999997,0.00022499999999999997,15,15,85
2022-10-31,0.15000000000000002,0.00022500000000000005,15,15,85
2022-11-30,0.17999999999999994,0.0002699999999999999,18,18,82
2022-12-31,0.16999999999999993,0.0002549999999999999,17,17,83
2023-01-31,0.10999999999999999,0.00016499999999999997,11,11,89
2023-02-28,0.30000000000000004,0.0004500000000000001,30,30,70
2023-03-31,0.29000000000000004,0.00043500000000000006,29,29,71
2023-04-30,0.27,0.00040500000000000003,27,27,73
2023-05-31,0.21,0.000315,21,21,79
2023-06-30,0.2900000000000001,0.00043500000000000017,29,29,71
2023-07-31,0.21999999999999997,0.00032999999999999994,22,22,78
2023-08-31,0.21000000000000002,0.000315,21,21,79
2023-09-30,0.19999999999999996,0.0002999999999999999,20,20,80
2023-10-31,0.25,0.000375,25,25,75
