date,momentum_tickers,qv_tickers
2003-11-28,AXON;SBAC;AMT;ALGN;AKAM;AES;WMB;NFLX;GLW;CCI;DECK;ON;FCX;AMZN;URI;RVTY;NTAP;BBY;FFIV;PWR;CSGP;GRMN;TPR;AMD;TRMB;LRCX;WDC;PCG;HAS;TSCO;BKNG;DHI;ODFL;EQIX;CMI;CTSH;VRSN;EIX;EVRG;INTC;PHM;JKHY;CSCO;COF;TYL;POOL;ROK;KMX;JBHT;PCAR,
2003-12-31,AXON;AKAM;ALGN;DECK;NFLX;SBAC;WMB;AES;FCX;CCI;ON;AMT;EQIX;DHI;CSGP;HUM;TPR;GLW;AMZN;GRMN;TRMB;NEM;PHM;BBY;LEN;PWR;MNST;TYL;LRCX;AMD;TSCO;WYNN;CTSH;EIX;ODFL;PCG;RVTY;URI;BKNG;JBHT;ZBH;FFIV;EVRG;VTR;KMX;POOL;PCAR;VTRS;HAS;XEL,
2004-01-30,AXON;SBAC;AKAM;DECK;ALGN;NFLX;EQIX;ON;WMB;GLW;AES;AMT;LRCX;TRMB;CCI;AMZN;FCX;DHI;FFIV;TYL;AMD;TPR;HUM;CSGP;BBY;EVRG;WYNN;RCL;RVTY;PWR;TSCO;COF;INTC;VTR;LEN;NTAP;VRSN;NVDA;PCG;MNST;TXN;PHM;TER;EA;ADI;STLD;EBAY;PCAR;CTSH;COO,
2004-02-27,AXON;EQIX;AKAM;SBAC;ALGN;NFLX;ON;DECK;CCI;WMB;GLW;CTSH;RCL;AES;PWR;RVTY;AMD;FFIV;TYL;TER;BKNG;HUM;VTR;TRMB;AMZN;COF;MNST;DHI;TPR;TSCO;URI;AMT;A;WYNN;NVDA;TROW;MSI;CMI;LRCX;VRSN;KMX;PCG;COO;CSGP;BBY;BSX;JBHT;FCX;ADI;INCY,
2004-03-31,AXON;AKAM;EQIX;SBAC;ON;DECK;ALGN;NFLX;RCL;MNST;CCI;DHI;INCY;AMD;BKNG;RVTY;HOLX;WYNN;AES;A;TSCO;PWR;COF;TYL;GLW;CPRT;FCX;WMB;FFIV;TPR;KMX;AMT;HUM;CMI;VTR;PHM;VRSN;MSI;LEN;MCD;JBHT;PCG;TROW;DVA;CME;TER;CMS;NTAP;PTC;MU,
2004-04-30,AXON;EQIX;AKAM;ON;DECK;MNST;NFLX;ALGN;RCL;CPRT;FFIV;INCY;TYL;BKNG;DHI;SBAC;VTR;AMD;CMI;GEN;RVTY;COF;WYNN;HOLX;TSN;FCX;DVA;TSCO;A;AES;LRCX;JCI;CCI;MSI;PCG;LEN;CME;PHM;CTSH;TPR;WMB;STLD;MCD;REGN;BSX;JBHT;AMT;HUM;PWR;MO,
2004-05-28,AXON;EQIX;AKAM;DECK;MNST;ON;CTSH;SBAC;DVA;TYL;MSI;WYNN;INCY;CCI;CPRT;CMI;NFLX;HOLX;RCL;ALGN;ADSK;CME;GEN;GLW;STLD;TPR;REGN;TSN;QCOM;AMD;MO;RVTY;COO;TXT;BSX;POOL;DHI;FFIV;PCG;TSCO;SWK;JBHT;WAT;AMT;VTR;CSGP;CRL;AAPL;BIIB;LEN,
2004-06-30,AXON;MNST;AKAM;DECK;EQIX;NFLX;CPRT;ADSK;CTSH;MSI;AMD;TSN;WYNN;ON;QCOM;GEN;CME;ZBH;TYL;POOL;DVA;IDXX;STLD;FFIV;RCL;VLO;ALGN;EBAY;JBHT;BSX;HOLX;CCI;JCI;TPR;CMI;NDSN;VTR;TSCO;SBUX;GLW;PCG;IT;COO;WAT;ZBRA;BIIB;PNR;CNC;DHI;PHM,
2004-07-30,AXON;MNST;DECK;EQIX;AKAM;NFLX;CPRT;ADSK;AMD;WYNN;VLO;STLD;POOL;TYL;JBHT;ODFL;QCOM;CME;MSI;CTSH;RCL;TSN;GEN;MOS;ZBH;CCI;IDXX;TPR;TRMB;NDSN;CMI;PNR;SBUX;BIIB;HOLX;WST;ZBRA;JCI;COO;TSCO;ON;AMT;EBAY;AAPL;GLW;DVA;SWK;AME;IT;ETN,
2004-08-31,AXON;MNST;AKAM;DECK;ADSK;CPRT;WYNN;EQIX;STLD;VLO;MOS;QCOM;GEN;WMB;PHM;NDSN;CME;CTRA;TYL;COO;CTSH;BIIB;TSN;NUE;MSI;JCI;SBUX;VTR;EIX;EOG;TPL;JBHT;ZBRA;AMD;ZBH;FAST;POOL;BA;PNR;AES;ETN;OXY;COP;DHI;SWK;AME;NFLX;BALL;TDY;DVA,
2004-09-30,AXON;MNST;DECK;AKAM;ADSK;WYNN;CPRT;MOS;STLD;CME;QCOM;PHM;TPL;INCY;VLO;BIIB;GEN;EQIX;ISRG;VTR;ZBRA;BLK;TDY;COO;EBAY;PNR;AAPL;SBAC;POOL;DHI;MSI;NUE;OXY;FAST;CTRA;CTSH;JCI;SBUX;AES;TRMB;NSC;TSN;BRO;ROK;EIX;DVA;LHX;TPR;CI;DGX,
2004-10-29,AXON;MNST;AKAM;DECK;ADSK;WYNN;MOS;STLD;CME;SBAC;VLO;INCY;TRMB;NUE;TPL;QCOM;BIIB;AAPL;PNR;CSGP;EQIX;PHM;GEN;ZBRA;CTRA;EBAY;CMI;COO;CPRT;TXT;NSC;TDY;CTSH;EOG;SBUX;CI;OXY;FFIV;LHX;WAT;CCI;MSI;PTC;COP;VTR;RCL;VRSN;AMT;CVX;LH,
2004-11-30,MNST;AXON;DECK;ADSK;WYNN;CME;AAPL;MOS;SBAC;VLO;EQIX;ISRG;INCY;PNR;BG;STLD;TPL;AKAM;EBAY;GEN;NSC;PTC;QCOM;SBUX;VRSN;CTRA;BIIB;TDY;LHX;OXY;COO;EOG;HAL;RCL;FFIV;NUE;DVN;EIX;JBHT;CNC;BKR;CPRT;TRMB;EMN;EXPD;CVX;IEX;AVB;CTSH;COP,
2004-12-31,AXON;MNST;CME;AAPL;SBAC;ADSK;MOS;DECK;WYNN;ISRG;CPRT;VRSN;EBAY;GEN;VLO;QCOM;NUE;BG;MOH;STLD;PNR;SBUX;FFIV;TDY;TPL;CMI;LHX;CNC;HAL;RCL;NSC;L;MGM;EOG;CTRA;NRG;AMT;HOLX;BIIB;WMB;PTC;TRMB;BALL;CTSH;CCL;INCY;JBHT;ADM;AVB;DVN,
2005-01-31,AXON;MNST;CME;ADSK;AAPL;SBAC;TPL;WYNN;ISRG;DECK;VRSN;CNC;VLO;FFIV;PNR;MGM;NUE;SBUX;CTSH;MOH;BIIB;EBAY;BG;CMI;AMT;WMB;JBHT;STLD;NVR;AVB;NRG;MOS;LHX;NTAP;ADBE;HOLX;CPRT;RCL;QCOM;TDY;EOG;NSC;FDS;ELV;HAL;ODFL;EIX;DVA;EMN;EQIX,
2005-02-28,MNST;AAPL;CME;TPL;ADSK;ISRG;WYNN;NUE;CNC;HOLX;SBAC;PNR;VLO;MOH;NVR;MGM;ROK;DECK;NRG;STLD;ODFL;AMT;WMB;EOG;BG;JBHT;TPR;AXON;COO;HSY;DVA;NSC;ADBE;TDY;PHM;CMI;STZ;ADM;CTRA;WST;EIX;EXPD;AME;SBUX;ELV;UNH;DRI;HUM;VRSN;AES,
2005-03-31,MNST;AAPL;ISRG;VLO;TPL;CNC;CME;CTSH;SBAC;ADSK;ROK;WMB;EOG;WYNN;NRG;AES;HOLX;NUE;CTRA;STZ;NVR;MGM;COO;JBHT;STLD;NSC;ADBE;CI;DVN;VRSN;ODFL;FFIV;COP;OXY;TRMB;AMT;AME;HUM;HSY;TDY;PNR;XOM;EQIX;UNH;APA;EXPD;MAR;DECK;LHX;IEX,
2005-04-29,MNST;AAPL;ISRG;VLO;TPL;SBAC;EOG;CTSH;WMB;CNC;AES;NUE;ADSK;CME;WYNN;CTRA;NVR;DVN;HUM;ADBE;NSC;VRSN;ROK;STZ;TDY;OXY;COP;AMT;HOLX;AME;MOH;NRG;MAR;JBHT;MGM;CI;ADM;HAL;XOM;EIX;UNH;FFIV;HSY;CVS;TRMB;APA;BA;WAB;CMS;TXT,
